,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2908,110/10/28,"16,927,154","10,066,068,774",598.00,598.00,591.00,595.00,-4.00,"15,065"
2909,110/10/29,"27,684,673","16,352,758,906",595.00,596.00,589.00,590.00,-5.00,"19,937"
2910,110/11/01,"17,110,357","10,107,402,871",591.00,593.00,590.00,590.00, 0.00,"13,798"
2911,110/11/02,"16,544,999","9,808,608,554",594.00,597.00,590.00,592.00,+2.00,"11,662"
2912,110/11/03,"11,404,984","6,773,439,607",597.00,597.00,592.00,592.00, 0.00,"8,934"
2913,110/11/04,"18,888,245","11,112,246,412",592.00,594.00,585.00,587.00,-5.00,"22,171"
2914,110/11/05,"35,086,799","20,974,569,571",598.00,600.00,595.00,600.00,+13.00,"31,929"
2915,110/11/08,"20,886,897","12,544,595,323",600.00,602.00,598.00,602.00,+2.00,"17,964"
2916,110/11/09,"42,340,785","25,935,652,781",611.00,617.00,610.00,611.00,+9.00,"42,855"
2917,110/11/10,"18,518,512","11,303,615,778",611.00,612.00,608.00,612.00,+1.00,"19,147"
2918,110/11/11,"20,257,792","12,225,622,771",600.00,606.00,600.00,606.00,-6.00,"16,140"
2919,110/11/12,"21,373,014","12,801,799,429",610.00,611.00,602.00,604.00,-2.00,"13,869"
2920,110/11/15,"17,140,935","10,434,209,332",609.00,611.00,607.00,608.00,+4.00,"13,140"
2921,110/11/16,"21,776,308","13,285,168,416",612.00,612.00,608.00,610.00,+2.00,"14,487"
2922,110/11/17,"21,829,653","13,330,782,804",615.00,615.00,608.00,610.00, 0.00,"14,807"
2923,110/11/18,"22,933,191","14,019,057,524",613.00,614.00,607.00,613.00,+3.00,"15,913"
2924,110/11/19,"38,847,820","24,047,156,185",622.00,623.00,617.00,618.00,+5.00,"32,179"
2925,110/11/22,"23,296,854","14,354,639,781",618.00,618.00,615.00,615.00,-3.00,"14,108"
2926,110/11/23,"20,022,520","12,266,300,247",615.00,615.00,611.00,612.00,-3.00,"15,011"
2927,110/11/24,"22,978,524","13,904,268,592",612.00,612.00,602.00,603.00,-9.00,"23,584"
2928,110/11/25,"14,171,433","8,551,663,451",605.00,607.00,601.00,603.00, 0.00,"14,137"
2929,110/11/26,"27,882,175","16,609,442,268",598.00,601.00,592.00,596.00,-7.00,"47,638"
2930,110/11/29,"24,160,615","14,360,266,132",594.00,598.00,591.00,593.00,-3.00,"23,653"
2931,110/11/30,"69,160,408","41,208,103,150",597.00,600.00,591.00,596.00,+3.00,"24,427"
2932,110/12/01,"30,119,408","18,021,861,252",596.00,603.00,594.00,600.00,+4.00,"15,695"
2933,110/12/02,"48,720,976","29,780,012,954",605.00,615.00,602.00,615.00,+15.00,"40,629"
2934,110/12/03,"27,571,974","16,798,271,782",614.00,614.00,606.00,608.00,-7.00,"16,197"
2935,110/12/06,"24,474,913","14,740,969,839",603.00,609.00,600.00,600.00,-8.00,"19,139"
2936,110/12/07,"21,105,883","12,704,452,330",602.00,607.00,597.00,607.00,+7.00,"22,160"
2937,110/12/08,"22,194,708","13,490,034,097",614.00,614.00,602.00,602.00,-5.00,"15,634"
2938,110/12/09,"12,467,833","7,554,386,680",606.00,608.00,602.00,608.00,+6.00,"9,231"
2939,110/12/10,"11,371,659","6,874,539,365",605.00,608.00,602.00,605.00,-3.00,"9,215"
2940,110/12/13,"17,994,933","10,887,156,003",609.00,610.00,601.00,601.00,-4.00,"12,503"
2941,110/12/14,"22,997,961","13,757,424,386",598.00,600.00,597.00,599.00,-2.00,"21,324"
2942,110/12/15,"22,419,040","13,420,958,112",597.00,601.00,596.00,600.00,+1.00,"19,195"
2943,110/12/16,"22,151,282","13,370,280,179",605.00,605.00,601.00,605.00,X0.00,"15,515"
2944,110/12/17,"30,319,495","18,339,763,894",601.00,607.00,599.00,607.00,+2.00,"11,667"
2945,110/12/20,"22,381,761","13,446,342,438",607.00,607.00,598.00,598.00,-9.00,"18,943"
2946,110/12/21,"17,669,559","10,560,361,874",597.00,600.00,595.00,597.00,-1.00,"17,336"
2947,110/12/22,"10,127,887","6,067,689,422",598.00,601.00,598.00,600.00,+3.00,"8,238"
2948,110/12/23,"16,910,501","10,238,270,336",607.00,608.00,602.00,606.00,+6.00,"12,888"
2949,110/12/24,"12,008,673","7,276,331,245",606.00,609.00,604.00,604.00,-2.00,"10,444"
2950,110/12/27,"16,771,900","10,193,462,167",604.00,610.00,604.00,606.00,+2.00,"16,637"
2951,110/12/28,"35,156,339","21,569,506,434",610.00,615.00,610.00,615.00,+9.00,"36,241"
2952,110/12/29,"25,604,320","15,788,043,027",615.00,619.00,614.00,616.00,+1.00,"28,804"
2953,110/12/30,"20,522,055","12,654,016,133",619.00,620.00,615.00,615.00,-1.00,"15,565"
2954,111/01/03,"73,703,302","46,249,716,919",619.00,632.00,618.00,631.00,+16.00,"88,508"
2955,111/01/04,"90,945,643","59,188,199,534",645.00,656.00,644.00,656.00,+25.00,"106,409"
2956,111/01/05,"72,505,550","47,582,832,784",669.00,669.00,646.00,650.00,-6.00,"64,712"
2957,111/01/06,"57,490,736","36,817,638,522",638.00,646.00,636.00,644.00,-6.00,"53,430"
2958,111/01/07,"39,847,766","25,358,237,656",643.00,646.00,632.00,634.00,-10.00,"44,497"
2959,111/01/10,"39,286,754","25,052,138,297",628.00,645.00,627.00,643.00,+9.00,"33,453"
2960,111/01/11,"36,186,544","23,361,588,355",646.00,651.00,639.00,651.00,+8.00,"26,849"
2961,111/01/12,"40,832,298","26,762,357,054",657.00,660.00,650.00,660.00,+9.00,"39,164"
2962,111/01/13,"39,172,028","25,813,559,647",658.00,662.00,655.00,661.00,+1.00,"34,355"
2963,111/01/14,"98,768,193","66,094,477,906",673.00,673.00,661.00,672.00,+11.00,"83,211"
2964,111/01/17,"63,828,552","43,615,303,577",685.00,688.00,678.00,683.00,+11.00,"61,981"
2965,111/01/18,"48,802,321","32,742,176,854",678.00,681.00,662.00,662.00,-21.00,"65,357"
2966,111/01/19,"44,092,247","28,859,030,269",652.00,660.00,651.00,654.00,-8.00,"50,763"
2967,111/01/20,"48,996,473","31,893,527,292",650.00,657.00,646.00,651.00,-3.00,"39,346"
2968,111/01/21,"53,966,101","34,642,476,570",644.00,646.00,637.00,641.00,-10.00,"66,088"
2969,111/01/24,"48,665,203","31,412,475,591",639.00,655.00,637.00,653.00,+12.00,"36,231"
2970,111/01/25,"53,927,064","34,582,254,327",643.00,645.00,638.00,641.00,-12.00,"56,698"
2971,111/01/26,"33,093,553","21,089,251,429",635.00,641.00,635.00,636.00,-5.00,"35,647"
2972,111/02/07,"64,637,049","41,221,401,027",644.00,644.00,631.00,635.00,-1.00,"43,774"
2973,111/02/08,"43,786,259","27,805,114,442",645.00,645.00,628.00,628.00,-7.00,"40,026"
2974,111/02/09,"33,633,394","21,289,086,984",635.00,637.00,630.00,633.00,+5.00,"29,746"
2975,111/02/10,"37,388,892","24,028,303,016",639.00,649.00,637.00,649.00,+16.00,"28,452"
2976,111/02/11,"28,194,682","18,225,628,338",646.00,650.00,642.00,650.00,+1.00,"21,995"
2977,111/02/14,"39,394,670","25,104,180,949",640.00,641.00,635.00,637.00,-13.00,"33,928"
2978,111/02/15,"24,497,955","15,556,533,655",633.00,639.00,633.00,633.00,-4.00,"31,907"
2979,111/02/16,"27,395,771","17,635,435,307",645.00,646.00,640.00,646.00,+13.00,"23,136"
2980,111/02/17,"20,447,347","13,171,026,165",644.00,646.00,641.00,645.00,-1.00,"16,116"
2981,111/02/18,"21,948,975","13,997,433,486",638.00,639.00,636.00,637.00,-8.00,"23,892"
2982,111/02/21,"25,769,408","16,320,629,980",633.00,636.00,632.00,632.00,-5.00,"41,961"
2983,111/02/22,"38,526,210","24,153,923,316",628.00,630.00,625.00,627.00,-5.00,"68,303"
2984,111/02/23,"34,561,338","21,606,428,438",624.00,629.00,623.00,625.00,-2.00,"50,926"
2985,111/02/24,"80,672,979","49,358,065,299",618.00,619.00,604.00,604.00,-21.00,"188,248"
2986,111/02/25,"94,155,943","56,880,320,916",600.00,609.00,600.00,604.00, 0.00,"129,776"
2987,111/03/01,"70,303,880","42,445,208,215",599.00,610.00,599.00,604.00, 0.00,"67,439"
2988,111/03/02,"42,428,151","25,528,700,277",601.00,605.00,600.00,601.00,-3.00,"58,916"
2989,111/03/03,"37,103,932","22,373,890,387",603.00,607.00,601.00,602.00,+1.00,"65,410"
2990,111/03/04,"65,235,167","38,833,099,256",595.00,597.00,592.00,595.00,-7.00,"206,731"
2991,111/03/07,"97,167,600","56,147,025,127",580.00,581.00,575.00,576.00,-19.00,"297,917"
2992,111/03/08,"88,371,413","49,908,147,901",561.00,570.00,561.00,563.00,-13.00,"269,695"
2993,111/03/09,"57,512,412","32,761,408,119",567.00,573.00,567.00,568.00,+5.00,"112,422"
2994,111/03/10,"49,092,145","28,798,814,637",585.00,589.00,582.00,587.00,+19.00,"71,569"
2995,111/03/11,"42,981,381","24,820,833,930",581.00,582.00,574.00,575.00,-12.00,"112,158"
2996,111/03/14,"38,562,552","22,131,365,409",574.00,577.00,572.00,572.00,-3.00,"87,337"
2997,111/03/15,"84,338,792","47,191,728,965",562.00,563.00,558.00,558.00,-14.00,"277,901"
2998,111/03/16,"50,764,807","28,345,633,852",564.00,565.00,555.00,558.00,X0.00,"110,732"
2999,111/03/17,"65,820,899","38,121,960,334",578.00,583.00,575.00,582.00,+24.00,"65,468"
3000,111/03/18,"49,583,448","28,771,454,221",582.00,582.00,576.00,581.00,-1.00,"39,576"
3001,111/03/21,"22,800,165","13,363,354,969",583.00,589.00,583.00,586.00,+5.00,"32,617"
3002,111/03/22,"23,421,124","13,613,967,252",577.00,586.00,577.00,583.00,-3.00,"27,371"
3003,111/03/23,"27,475,008","16,177,424,772",590.00,590.00,586.00,590.00,+7.00,"30,970"
3004,111/03/24,"20,769,676","12,232,627,003",587.00,592.00,585.00,591.00,+1.00,"21,647"
3005,111/03/25,"26,794,684","15,984,831,591",597.00,598.00,595.00,598.00,+7.00,"29,896"
3006,111/03/28,"27,954,730","16,298,449,416",581.00,586.00,580.00,584.00,-14.00,"54,537"
3007,111/03/29,"15,742,359","9,243,985,774",586.00,589.00,584.00,589.00,+5.00,"21,222"
3008,111/03/30,"43,256,548","25,908,489,513",599.00,600.00,597.00,600.00,+11.00,"48,535"
3009,111/03/31,"25,130,417","15,014,260,610",602.00,602.00,594.00,597.00,-3.00,"18,860"
3010,111/04/01,"31,247,086","18,328,227,645",585.00,589.00,584.00,589.00,-8.00,"53,178"
3011,111/04/06,"40,726,932","23,547,636,944",578.00,580.00,575.00,578.00,-11.00,"62,822"
3012,111/04/07,"47,212,937","26,881,649,976",571.00,573.00,566.00,566.00,-12.00,"130,552"
3013,111/04/08,"31,406,384","17,821,660,486",567.00,570.00,566.00,567.00,+1.00,"75,778"
3014,111/04/11,"41,713,758","23,401,330,531",563.00,566.00,558.00,558.00,-9.00,"130,731"
3015,111/04/12,"34,799,056","19,418,030,839",554.00,564.00,552.00,557.00,-1.00,"69,280"
3016,111/04/13,"36,968,137","21,134,384,849",564.00,576.00,563.00,573.00,+16.00,"41,249"
3017,111/04/14,"20,224,847","11,618,596,373",577.00,578.00,573.00,573.00, 0.00,"27,442"
3018,111/04/15,"33,158,930","18,667,922,752",562.00,566.00,561.00,562.00,-11.00,"99,936"
3019,111/04/18,"16,579,296","9,311,198,146",559.00,566.00,558.00,561.00,-1.00,"31,712"
3020,111/04/19,"18,811,242","10,639,032,272",566.00,569.00,563.00,565.00,+4.00,"24,598"
3021,111/04/20,"28,240,222","16,016,967,192",570.00,570.00,562.00,570.00,+5.00,"28,615"
3022,111/04/21,"21,539,083","12,221,437,009",571.00,571.00,565.00,565.00,-5.00,"28,847"
3023,111/04/22,"35,567,672","19,849,449,551",558.00,559.00,557.00,558.00,-7.00,"81,550"
3024,111/04/25,"49,067,362","26,907,070,565",550.00,552.00,546.00,547.00,-11.00,"165,619"
3025,111/04/26,"39,549,934","21,628,474,846",550.00,551.00,544.00,546.00,-1.00,"90,252"
3026,111/04/27,"65,034,122","34,416,315,121",530.00,532.00,526.00,526.00,-20.00,"217,895"
